"Klub","Nazwa_stadionu","Pojemnosc","Liczba_widzow","Srednia","Wykorzystanie","Sezon","Kraj","Liczba_meczow","Zwyciestwa","Remisy","Porazki","Gole_zdobyte","Gole_stracone","Bilans_goli","Punkty"
"PEC Zwolle","MAC³PARK stadion",14000,68250,13.65,97.5,"2023/2024","Holandia",8,2,1,5,7,13,-6,7
"Sparta Rotterdam","Sparta-stadion - Het Kasteel",11026,61997,10.333,93.7,"2023/2024","Holandia",8,2,3,3,10,13,-3,9
"NEC Nijmegen","Goffertstadion",12500,49526,12.382,99.1,"2023/2024","Holandia",9,3,3,3,20,15,5,12
"Fortuna Sittard","Fortuna Sittard Stadion",12500,41317,10.329,82.6,"2023/2024","Holandia",8,5,2,1,13,7,6,17
"FC Volendam","Kras Stadion",7384,39391,6.565,88.9,"2023/2024","Holandia",7,2,1,4,8,16,-8,7
"Go Ahead Eagles Deventer","De Adelaarshorst",9909,38735,9.684,97.7,"2023/2024","Holandia",8,5,1,2,20,9,11,16
"Excelsior Rotterdam","Van Donge & De Roo Stadion - Woudestein",4400,21739,4.348,98.8,"2023/2024","Holandia",8,1,5,2,12,15,-3,8
"RKC Waalwijk","Mandemakers Stadion",7508,18843,6.281,83.7,"2023/2024","Holandia",8,2,1,5,9,16,-7,7
"Almere City FC","Yanmar Stadion",4500,16000,4,88.9,"2023/2024","Holandia",8,2,2,4,10,17,-7,8
"FC Barcelona","Olímpic Lluís Companys",49472,1356246,71.381,144.3,"2012/2013","Hiszpania",19,18,1,0,63,15,48,55
"Real Madryt","Santiago Bernabéu",81044,1307608,68.821,84.9,"2012/2013","Hiszpania",19,17,2,0,67,21,46,53
"Atlético Madryt","Civitas Metropolitano",67829,852500,44.868,66.2,"2012/2013","Hiszpania",19,14,2,3,42,12,30,44
"Valencia CF","Mestalla",49430,754000,39.684,80.3,"2012/2013","Hiszpania",19,13,3,3,42,25,17,42
"Athletic Bilbao","San Mamés",53289,689000,36.263,68.1,"2012/2013","Hiszpania",19,8,3,8,22,27,-5,27
"Real Betis Balompié","Benito Villamarín",60721,674513,35.501,58.5,"2012/2013","Hiszpania",19,9,5,5,28,18,10,32
"Sevilla FC","Ramón Sánchez-Pizjuán",43883,584000,30.737,70,"2012/2013","Hiszpania",19,13,1,5,41,21,20,40
"Deportivo de La Coruña","Abanca Riazor",32912,559421,29.443,89.5,"2012/2013","Hiszpania",19,6,5,8,23,26,-3,23
"Málaga CF","La Rosaleda",30044,483193,25.431,84.7,"2012/2013","Hiszpania",19,10,5,4,33,18,15,35
"Real Sociedad","Reale Arena ",39313,454988,23.947,60.9,"2012/2013","Hiszpania",19,10,7,2,41,22,19,37
"Real Zaragoza","La Romareda",33608,423196,22.273,66.3,"2012/2013","Hiszpania",19,5,4,10,23,27,-4,19
"RCD Espanyol","Stage Front Stadium",40500,400954,21.103,52.1,"2012/2013","Hiszpania",19,6,7,6,25,28,-3,25
"Granada CF","Nuevo Los Cármenes",19336,371836,19.57,101.2,"2012/2013","Hiszpania",19,6,6,7,21,21,0,24
"Celta de Vigo","Abanca Balaídos",29000,362931,19.102,65.9,"2012/2013","Hiszpania",19,7,6,6,23,21,2,27
"Real Valladolid CF","Nuevo José Zorrilla",27618,332156,17.482,63.3,"2012/2013","Hiszpania",19,7,6,6,29,26,3,27
"CA Osasuna","El Sadar",23576,314335,16.544,70.2,"2012/2013","Hiszpania",19,7,5,7,15,14,1,26
"RCD Mallorca","Mallorca Son Moix",20500,288679,15.194,74.1,"2012/2013","Hiszpania",19,7,5,7,26,30,-4,26
"Levante UD","Ciutat de València",26354,284872,14.993,56.9,"2012/2013","Hiszpania",19,8,4,7,25,26,-1,28
"Rayo Vallecano","Campo de Fútbol de Vallecas",15105,194678,10.246,67.8,"2012/2013","Hiszpania",19,9,3,7,27,29,-2,30
"Getafe CF","Coliseum",16800,164700,8.668,51.6,"2012/2013","Hiszpania",19,9,4,6,25,23,2,31
"FC Barcelona","Olímpic Lluís Companys",49472,1365558,71.871,145.3,"2013/2014","Hiszpania",19,16,2,1,64,15,49,50
"Real Madryt","Santiago Bernabéu",81044,1356358,71.387,88.1,"2013/2014","Hiszpania",19,16,1,2,63,17,46,49
"Atlético Madryt","Civitas Metropolitano",67829,902030,47.475,70,"2013/2014","Hiszpania",19,15,4,0,49,10,39,49
"Valencia CF","Mestalla",49430,646374,34.02,68.8,"2013/2014","Hiszpania",19,10,3,6,35,24,11,33
"Athletic Bilbao","San Mamés",53289,640267,33.698,63.2,"2013/2014","Hiszpania",19,13,4,2,42,18,24,43
"Sevilla FC","Ramón Sánchez-Pizjuán",43883,592936,31.207,71.1,"2013/2014","Hiszpania",19,11,4,4,40,21,19,37
"Real Betis Balompié","Benito Villamarín",60721,578543,30.45,50.2,"2013/2014","Hiszpania",19,5,3,11,19,31,-12,18
"Elche CF","Manuel Martínez Valero",31388,466393,24.547,78.2,"2013/2014","Hiszpania",19,6,8,5,13,12,1,26
"Real Sociedad","Reale Arena ",39313,443286,23.331,59.4,"2013/2014","Hiszpania",19,11,4,4,38,19,19,37
"Málaga CF","La Rosaleda",30044,415758,21.882,72.8,"2013/2014","Hiszpania",19,8,2,9,24,21,3,26
"Celta de Vigo","Abanca Balaídos",29000,376863,19.835,68.4,"2013/2014","Hiszpania",19,6,7,6,23,23,0,25
"RCD Espanyol","Stage Front Stadium",40500,375812,19.78,48.8,"2013/2014","Hiszpania",19,7,5,7,23,22,1,26
"Villarreal CF","La Cerámica",23500,330486,17.394,74,"2013/2014","Hiszpania",19,9,6,4,36,21,15,33
"Real Valladolid CF","Nuevo José Zorrilla",27618,311052,16.371,59.3,"2013/2014","Hiszpania",19,6,9,4,20,17,3,27
"Granada CF","Nuevo Los Cármenes",19336,307333,16.175,83.7,"2013/2014","Hiszpania",19,7,1,11,18,22,-4,22
"Levante UD","Ciutat de València",26354,291495,15.342,58.2,"2013/2014","Hiszpania",19,7,6,6,19,16,3,27
"CA Osasuna","El Sadar",23576,289392,15.231,64.6,"2013/2014","Hiszpania",19,6,5,8,20,25,-5,23
"UD Almería","Power Horse Stadium",18331,217583,11.452,62.5,"2013/2014","Hiszpania",19,6,6,7,26,31,-5,24
"Rayo Vallecano","Campo de Fútbol de Vallecas",15105,207037,10.897,72.1,"2013/2014","Hiszpania",19,8,0,11,28,36,-8,24
"Getafe CF","Coliseum",16800,142189,7.484,44.6,"2013/2014","Hiszpania",19,6,6,7,20,24,-4,24
"FC Barcelona","Olímpic Lluís Companys",49472,1475013,77.632,156.9,"2014/2015","Hiszpania",19,16,1,2,64,11,53,49
"Real Madryt","Santiago Bernabéu",81044,1397348,73.545,90.8,"2014/2015","Hiszpania",19,16,2,1,65,15,50,50
"Atlético Madryt","Civitas Metropolitano",67829,882625,46.454,68.5,"2014/2015","Hiszpania",19,14,3,2,42,11,31,45
"Valencia CF","Mestalla",49430,810912,42.68,86.3,"2014/2015","Hiszpania",19,15,3,1,42,10,32,48
"Athletic Bilbao","San Mamés",53289,764609,40.243,75.5,"2014/2015","Hiszpania",19,8,6,5,28,20,8,30
"Sevilla FC","Ramón Sánchez-Pizjuán",43883,586679,30.878,70.4,"2014/2015","Hiszpania",19,13,5,1,38,13,25,44
"Málaga CF","La Rosaleda",30044,450365,23.703,78.9,"2014/2015","Hiszpania",19,8,6,5,26,20,6,30
"Real Sociedad","Reale Arena ",39313,409542,21.555,54.8,"2014/2015","Hiszpania",19,9,5,5,29,21,8,32
"Elche CF","Manuel Martínez Valero",31388,407552,21.45,68.3,"2014/2015","Hiszpania",19,6,3,10,19,31,-12,21
"Deportivo de La Coruña","Abanca Riazor",32912,398454,20.971,63.7,"2014/2015","Hiszpania",19,5,6,8,22,30,-8,21
"Celta de Vigo","Abanca Balaídos",29000,365209,19.222,66.3,"2014/2015","Hiszpania",19,8,5,6,30,22,8,29
"RCD Espanyol","Stage Front Stadium",40500,354475,18.657,46.1,"2014/2015","Hiszpania",19,8,6,5,23,19,4,30
"Granada CF","Nuevo Los Cármenes",19336,328969,17.314,89.5,"2014/2015","Hiszpania",19,4,10,5,13,17,-4,22
"Córdoba CF","Nuevo Arcángel",21822,314824,16.57,75.9,"2014/2015","Hiszpania",19,1,6,12,12,33,-21,9
"Villarreal CF","La Cerámica",23500,302222,15.906,67.7,"2014/2015","Hiszpania",19,12,1,6,29,17,12,37
"Levante UD","Ciutat de València",26354,299799,15.779,59.9,"2014/2015","Hiszpania",19,6,6,7,20,30,-10,24
"UD Almería","Power Horse Stadium",18331,203822,10.727,58.5,"2014/2015","Hiszpania",19,3,7,9,20,28,-8,13
"Rayo Vallecano","Campo de Fútbol de Vallecas",15105,197767,10.409,68.9,"2014/2015","Hiszpania",19,8,2,9,26,26,0,26
"Getafe CF","Coliseum",16800,139765,7.356,43.8,"2014/2015","Hiszpania",19,6,5,8,16,22,-6,23
"SD Eibar","Ipurua",8164,90696,4.773,58.5,"2014/2015","Hiszpania",19,5,3,11,20,29,-9,18
"FC Barcelona","Olímpic Lluís Companys",49472,1488507,78.342,158.4,"2015/2016","Hiszpania",19,16,1,2,67,14,53,49
"Real Madryt","Santiago Bernabéu",81044,1290728,67.933,83.8,"2015/2016","Hiszpania",19,16,1,2,70,16,54,49
"Atlético Madryt","Civitas Metropolitano",67829,820812,43.201,63.7,"2015/2016","Hiszpania",19,15,3,1,33,7,26,48
"Athletic Bilbao","San Mamés",53289,794684,41.825,78.5,"2015/2016","Hiszpania",19,11,4,4,35,17,18,37
"Real Betis Balompié","Benito Villamarín",60721,723327,38.07,62.7,"2015/2016","Hiszpania",19,6,6,7,17,23,-6,24
"Valencia CF","Mestalla",49430,708225,37.275,75.4,"2015/2016","Hiszpania",19,6,7,6,25,23,2,25
"Sevilla FC","Ramón Sánchez-Pizjuán",43883,644841,33.939,77.3,"2015/2016","Hiszpania",19,14,1,4,38,21,17,43
"Deportivo de La Coruña","Abanca Riazor",32912,446142,23.481,71.4,"2015/2016","Hiszpania",19,4,8,7,25,34,-9,20
"Sporting Gijón","El Molinón - Enrique Castro Quini",29029,441346,23.229,80,"2015/2016","Hiszpania",19,7,4,8,28,28,0,25
"UD Las Palmas","Estadio de Gran Canaria",32400,403716,21.248,65.6,"2015/2016","Hiszpania",19,8,5,6,25,17,8,29
"Málaga CF","La Rosaleda",30044,400322,21.07,70.1,"2015/2016","Hiszpania",19,8,6,5,26,15,11,30
"Real Sociedad","Reale Arena ",39313,387813,20.411,51.9,"2015/2016","Hiszpania",19,7,5,7,22,20,2,26
"RCD Espanyol","Stage Front Stadium",40500,365442,19.234,47.5,"2015/2016","Hiszpania",19,9,5,5,22,28,-6,32
"Celta de Vigo","Abanca Balaídos",29000,345887,18.205,62.8,"2015/2016","Hiszpania",19,9,6,4,29,25,4,33
"Villarreal CF","La Cerámica",23500,325783,17.146,73,"2015/2016","Hiszpania",19,12,4,3,26,12,14,40
"Granada CF","Nuevo Los Cármenes",19336,312035,16.423,84.9,"2015/2016","Hiszpania",19,6,5,8,26,31,-5,23
"Levante UD","Ciutat de València",26354,271440,14.286,54.2,"2015/2016","Hiszpania",19,7,5,7,23,26,-3,26
"Rayo Vallecano","Campo de Fútbol de Vallecas",15105,219262,11.54,76.4,"2015/2016","Hiszpania",19,8,4,7,29,29,0,28
"Getafe CF","Coliseum",16800,140843,7.413,44.1,"2015/2016","Hiszpania",19,6,7,6,23,20,3,25
"SD Eibar","Ipurua",8164,98811,5.201,63.7,"2015/2016","Hiszpania",19,8,5,6,26,22,4,29
"FC Barcelona","Olímpic Lluís Companys",49472,1494886,78.678,159,"2016/2017","Hiszpania",19,15,3,1,64,17,47,48
"Real Madryt","Santiago Bernabéu",81044,1358743,71.513,88.2,"2016/2017","Hiszpania",19,14,4,1,48,20,28,46
"Atlético Madryt","Civitas Metropolitano",67829,849963,44.735,66,"2016/2017","Hiszpania",19,14,2,3,40,14,26,44
"Athletic Bilbao","San Mamés",53289,780094,41.058,77.1,"2016/2017","Hiszpania",19,13,4,2,36,18,18,43
"Valencia CF","Mestalla",49430,644521,33.922,68.6,"2016/2017","Hiszpania",19,8,4,7,32,32,0,28
"Real Betis Balompié","Benito Villamarín",60721,637724,33.564,55.3,"2016/2017","Hiszpania",19,6,7,6,22,24,-2,25
"Sevilla FC","Ramón Sánchez-Pizjuán",43883,622699,32.774,74.7,"2016/2017","Hiszpania",19,14,4,1,39,16,23,46
"Sporting Gijón","El Molinón - Enrique Castro Quini",29029,436547,22.976,79.2,"2016/2017","Hiszpania",19,5,4,10,26,38,-12,19
"Deportivo de La Coruña","Abanca Riazor",32912,426216,22.432,68.2,"2016/2017","Hiszpania",19,7,5,7,27,23,4,26
"Málaga CF","La Rosaleda",30044,416874,21.941,73,"2016/2017","Hiszpania",19,10,2,7,32,25,7,32
"Real Sociedad","Reale Arena ",39313,407949,21.471,54.6,"2016/2017","Hiszpania",19,10,5,4,30,24,6,35
"UD Las Palmas","Estadio de Gran Canaria",32400,388385,20.441,63.1,"2016/2017","Hiszpania",19,9,6,4,33,25,8,33
"RCD Espanyol","Stage Front Stadium",40500,387275,20.383,50.3,"2016/2017","Hiszpania",19,8,5,6,28,24,4,29
"Deportivo Alavés","Mendizorroza",19840,340812,17.937,90.4,"2016/2017","Hiszpania",19,7,8,4,19,21,-2,29
"Villarreal CF","La Cerámica",23500,338309,17.806,75.8,"2016/2017","Hiszpania",19,11,4,4,35,18,17,37
"Celta de Vigo","Abanca Balaídos",29000,321153,16.903,58.3,"2016/2017","Hiszpania",19,9,2,8,30,32,-2,29
"Granada CF","Nuevo Los Cármenes",19336,282870,14.888,77,"2016/2017","Hiszpania",19,4,4,11,17,32,-15,16
"CA Osasuna","El Sadar",23576,280381,14.757,62.6,"2016/2017","Hiszpania",19,2,7,10,23,39,-16,13
"CD Leganés","Butarque",12454,192907,10.153,81.5,"2016/2017","Hiszpania",19,5,6,8,22,23,-1,21
"SD Eibar","Ipurua",8164,101158,5.324,65.2,"2016/2017","Hiszpania",19,10,3,6,29,21,8,33
"FC Barcelona","Olímpic Lluís Companys",49472,1270219,70.568,142.6,"2017/2018","Hiszpania",19,16,3,0,53,11,42,51
"Real Madryt","Santiago Bernabéu",81044,1263693,66.51,82.1,"2017/2018","Hiszpania",19,12,4,3,54,20,34,40
"Atlético Madryt","Civitas Metropolitano",67829,1054510,55.501,81.8,"2017/2018","Hiszpania",19,12,6,1,30,8,22,42
"Real Betis Balompié","Benito Villamarín",60721,888939,46.786,77.1,"2017/2018","Hiszpania",19,10,4,5,35,31,4,34
"Valencia CF","Mestalla",49430,731540,38.502,77.9,"2017/2018","Hiszpania",19,13,3,3,36,16,20,42
"Athletic Bilbao","San Mamés",53289,707677,37.246,69.9,"2017/2018","Hiszpania",19,6,8,5,19,16,3,26
"Sevilla FC","Ramón Sánchez-Pizjuán",43883,626978,32.999,75.2,"2017/2018","Hiszpania",19,11,5,3,31,22,9,38
"Deportivo de La Coruña","Abanca Riazor",32912,389842,20.518,62.3,"2017/2018","Hiszpania",19,4,6,9,22,33,-11,18
"Málaga CF","La Rosaleda",30044,386327,20.333,67.7,"2017/2018","Hiszpania",19,4,3,12,14,27,-13,15
"Real Sociedad","Reale Arena ",39313,375723,19.775,50.3,"2017/2018","Hiszpania",19,10,3,6,47,29,18,33
"Deportivo Alavés","Mendizorroza",19840,349398,18.389,92.7,"2017/2018","Hiszpania",19,9,1,9,21,23,-2,28
"Levante UD","Ciutat de València",26354,343244,18.065,68.6,"2017/2018","Hiszpania",19,7,6,6,25,28,-3,27
"RCD Espanyol","Stage Front Stadium",40500,339095,17.847,44.1,"2017/2018","Hiszpania",19,8,6,5,20,16,4,30
"Villarreal CF","La Cerámica",23500,318286,16.752,71.3,"2017/2018","Hiszpania",19,11,3,5,35,22,13,36
"Celta de Vigo","Abanca Balaídos",29000,306955,16.156,55.7,"2017/2018","Hiszpania",19,8,8,3,34,23,11,32
"UD Las Palmas","Estadio de Gran Canaria",32400,305415,16.074,49.6,"2017/2018","Hiszpania",19,4,2,13,15,38,-23,14
"Girona FC","Montilivi",13286,197708,10.406,78.3,"2017/2018","Hiszpania",19,8,3,8,26,22,4,27
"Getafe CF","Coliseum",16800,197271,10.383,61.8,"2017/2018","Hiszpania",19,9,4,6,26,13,13,31
"CD Leganés","Butarque",12454,188717,9.932,79.8,"2017/2018","Hiszpania",19,9,4,6,19,19,0,31
"SD Eibar","Ipurua",8164,101411,5.337,65.4,"2017/2018","Hiszpania",19,8,4,7,26,19,7,28
"FC Barcelona","Olímpic Lluís Companys",49472,1444972,76.051,153.7,"2018/2019","Hiszpania",19,15,3,1,51,17,34,48
"Real Madryt","Santiago Bernabéu",81044,1152247,60.645,74.8,"2018/2019","Hiszpania",19,13,1,5,32,15,17,40
"Atlético Madryt","Civitas Metropolitano",67829,1068100,56.216,82.9,"2018/2019","Hiszpania",19,15,3,1,32,10,22,48
"Real Betis Balompié","Benito Villamarín",60721,845976,44.525,73.3,"2018/2019","Hiszpania",19,8,5,6,25,26,-1,29
"Athletic Bilbao","San Mamés",53289,772423,40.654,76.3,"2018/2019","Hiszpania",19,9,8,2,26,19,7,35
"Valencia CF","Mestalla",49430,750124,39.48,79.9,"2018/2019","Hiszpania",19,7,10,2,24,12,12,31
"Sevilla FC","Ramón Sánchez-Pizjuán",43883,682891,35.942,81.9,"2018/2019","Hiszpania",19,12,3,4,39,20,19,39
"Real Sociedad","Reale Arena ",39313,424242,22.329,56.8,"2018/2019","Hiszpania",19,7,6,6,23,20,3,27
"Levante UD","Ciutat de València",26354,384104,20.216,76.7,"2018/2019","Hiszpania",19,6,7,6,34,34,0,25
"RCD Espanyol","Stage Front Stadium",40500,368364,19.388,47.9,"2018/2019","Hiszpania",19,11,3,5,28,22,6,36
"Real Valladolid CF","Nuevo José Zorrilla",27618,361846,19.045,69,"2018/2019","Hiszpania",19,5,5,9,16,26,-10,20
"Celta de Vigo","Abanca Balaídos",29000,334454,17.603,60.7,"2018/2019","Hiszpania",19,8,5,6,31,25,6,29
"Deportivo Alavés","Mendizorroza",19840,326478,18.138,91.4,"2018/2019","Hiszpania",19,7,8,4,19,19,0,29
"Villarreal CF","La Cerámica",23500,317911,16.732,71.2,"2018/2019","Hiszpania",19,5,8,6,28,26,2,23
"Rayo Vallecano","Campo de Fútbol de Vallecas",15105,226631,11.928,79,"2018/2019","Hiszpania",19,5,6,8,25,32,-7,21
"Getafe CF","Coliseum",16800,209005,11,65.5,"2018/2019","Hiszpania",19,11,3,5,28,13,15,36
"Girona FC","Montilivi",13286,207504,10.921,82.2,"2018/2019","Hiszpania",19,3,6,10,17,28,-11,15
"CD Leganés","Butarque",12454,198265,10.435,83.8,"2018/2019","Hiszpania",19,7,8,4,19,16,3,29
"SD Huesca","El Alcoraz",9128,125488,6.605,72.4,"2018/2019","Hiszpania",19,5,6,8,24,30,-6,21
"SD Eibar","Ipurua",8164,93991,4.947,60.6,"2018/2019","Hiszpania",19,9,6,4,31,21,10,33
"FC Barcelona","Olímpic Lluís Companys",49472,1030233,73.588,148.8,"2019/2020","Hiszpania",19,16,2,1,52,16,36,50
"Real Madryt","Santiago Bernabéu",81044,869375,66.875,82.5,"2019/2020","Hiszpania",19,15,4,0,40,11,29,49
"Atlético Madryt","Civitas Metropolitano",67829,802396,57.314,84.5,"2019/2020","Hiszpania",19,12,6,1,28,11,17,42
"Real Betis Balompié","Benito Villamarín",60721,683471,48.819,80.4,"2019/2020","Hiszpania",19,9,4,6,34,27,7,31
"Valencia CF","Mestalla",49430,564543,40.325,81.6,"2019/2020","Hiszpania",19,11,7,1,29,16,13,40
"Athletic Bilbao","San Mamés",53289,532744,40.98,76.9,"2019/2020","Hiszpania",19,9,4,6,21,14,7,31
"Sevilla FC","Ramón Sánchez-Pizjuán",43883,475329,36.564,83.3,"2019/2020","Hiszpania",19,10,7,2,26,14,12,37
"Real Sociedad","Reale Arena ",39313,402873,30.99,78.8,"2019/2020","Hiszpania",19,9,4,6,33,20,13,31
"RCD Espanyol","Stage Front Stadium",40500,305671,23.513,58.1,"2019/2020","Hiszpania",19,2,6,11,15,31,-16,12
"Real Valladolid CF","Nuevo José Zorrilla",27618,258036,19.849,71.9,"2019/2020","Hiszpania",19,5,10,4,18,15,3,25
"Levante UD","Ciutat de València",26354,250750,19.288,73.2,"2019/2020","Hiszpania",19,9,5,5,27,19,8,32
"Celta de Vigo","Abanca Balaídos",29000,227913,17.532,60.5,"2019/2020","Hiszpania",19,5,8,6,22,20,2,23
"Deportivo Alavés","Mendizorroza",19840,222442,15.889,80.1,"2019/2020","Hiszpania",19,7,6,6,20,19,1,27
"CA Osasuna","El Sadar",23576,217607,15.543,65.9,"2019/2020","Hiszpania",19,7,7,5,26,29,-3,28
"Villarreal CF","La Cerámica",23500,215108,16.547,70.4,"2019/2020","Hiszpania",19,9,5,5,37,25,12,32
"Granada CF","Nuevo Los Cármenes",19336,212300,16.331,84.5,"2019/2020","Hiszpania",19,10,3,6,26,16,10,33
"RCD Mallorca","Mallorca Son Moix",20500,205885,14.706,71.7,"2019/2020","Hiszpania",19,8,3,8,25,22,3,27
"Getafe CF","Coliseum",16800,165000,11.786,70.2,"2019/2020","Hiszpania",19,8,6,5,25,20,5,30
"CD Leganés","Butarque",12454,143238,10.231,82.2,"2019/2020","Hiszpania",19,5,5,9,17,26,-9,20
"SD Eibar","Ipurua",8164,78762,6.059,74.2,"2019/2020","Hiszpania",19,8,3,8,25,25,0,27
"Levante UD","Ciutat de València",26354,4900,4.9,18.6,"2020/2021","Hiszpania",19,5,9,5,27,30,-3,24
"Villarreal CF","La Cerámica",23500,4800,4.8,20.4,"2020/2021","Hiszpania",19,8,6,5,29,23,6,30
"Elche CF","Manuel Martínez Valero",31388,3518,3.518,11.2,"2020/2021","Hiszpania",19,5,8,6,18,23,-5,23
"Valencia CF","Mestalla",49430,2689,2.689,5.4,"2020/2021","Hiszpania",19,8,7,4,34,23,11,31
"Celta de Vigo","Abanca Balaídos",29000,1738,1.738,6,"2020/2021","Hiszpania",19,9,3,7,30,30,0,30
"FC Barcelona","Olímpic Lluís Companys",49472,0,0,0,"2020/2021","Hiszpania",19,11,5,3,44,20,24,38
"Real Betis Balompié","Benito Villamarín",60721,0,0,0,"2020/2021","Hiszpania",19,10,5,4,27,21,6,35
"CA Osasuna","El Sadar",23576,0,0,0,"2020/2021","Hiszpania",19,7,5,7,21,23,-2,26
"Real Valladolid CF","Nuevo José Zorrilla",27618,0,0,0,"2020/2021","Hiszpania",19,3,7,9,19,30,-11,16
"Sevilla FC","Ramón Sánchez-Pizjuán",43883,0,0,0,"2020/2021","Hiszpania",19,14,1,4,27,11,16,43
"Real Madryt","Santiago Bernabéu",81044,0,0,0,"2020/2021","Hiszpania",19,13,3,3,33,13,20,42
"Athletic Bilbao","San Mamés",53289,0,0,0,"2020/2021","Hiszpania",19,8,6,5,29,19,10,30
"Real Sociedad","Reale Arena ",39313,0,0,0,"2020/2021","Hiszpania",19,9,6,4,34,21,13,33
"Deportivo Alavés","Mendizorroza",19840,0,0,0,"2020/2021","Hiszpania",19,6,6,7,21,25,-4,24
"SD Eibar","Ipurua",8164,0,0,0,"2020/2021","Hiszpania",19,2,7,10,12,21,-9,13
"Cádiz CF","Nuevo Mirandilla",21094,0,0,0,"2020/2021","Hiszpania",19,5,5,9,17,30,-13,20
"Getafe CF","Coliseum",16800,0,0,0,"2020/2021","Hiszpania",19,6,6,7,15,13,2,24
"SD Huesca","El Alcoraz",9128,0,0,0,"2020/2021","Hiszpania",19,5,7,7,17,21,-4,22
"Granada CF","Nuevo Los Cármenes",19336,0,0,0,"2020/2021","Hiszpania",19,9,4,6,25,25,0,31
"Atlético Madryt","Civitas Metropolitano",67829,0,0,0,"2020/2021","Hiszpania",19,15,3,1,41,11,30,48
"FC Barcelona","Olímpic Lluís Companys",49472,1025652,53.982,109.1,"2021/2022","Hiszpania",19,12,2,5,37,19,18,38
"Atlético Madryt","Civitas Metropolitano",67829,912746,48.039,70.8,"2021/2022","Hiszpania",19,12,5,2,33,16,17,41
"Real Betis Balompié","Benito Villamarín",60721,792593,41.715,68.7,"2021/2022","Hiszpania",19,10,2,7,34,22,12,32
"Real Madryt","Santiago Bernabéu",81044,784774,41.304,51,"2021/2022","Hiszpania",19,13,5,1,44,13,31,44
"Athletic Bilbao","San Mamés",53289,626026,32.949,61.8,"2021/2022","Hiszpania",19,10,4,5,29,18,11,34
"Sevilla FC","Ramón Sánchez-Pizjuán",43883,565355,29.756,67.8,"2021/2022","Hiszpania",19,12,6,1,36,17,19,42
"Valencia CF","Mestalla",49430,519638,27.349,55.3,"2021/2022","Hiszpania",19,6,8,5,26,24,2,26
"Real Sociedad","Reale Arena ",39313,509445,26.813,68.2,"2021/2022","Hiszpania",19,10,5,4,16,9,7,35
"RCD Espanyol","Stage Front Stadium",40500,329686,17.352,42.8,"2021/2022","Hiszpania",19,9,6,4,25,19,6,33
"CA Osasuna","El Sadar",23576,327009,17.211,73,"2021/2022","Hiszpania",19,5,7,7,17,26,-9,22
"Elche CF","Manuel Martínez Valero",31388,292859,15.414,49.1,"2021/2022","Hiszpania",19,7,6,6,24,21,3,27
"Levante UD","Ciutat de València",26354,284307,14.964,56.8,"2021/2022","Hiszpania",19,5,7,7,28,30,-2,22
"Villarreal CF","La Cerámica",23500,271570,14.293,60.8,"2021/2022","Hiszpania",19,10,6,3,40,18,22,36
"Cádiz CF","Nuevo Mirandilla",21094,267048,14.055,66.6,"2021/2022","Hiszpania",19,3,9,7,19,24,-5,18
"Granada CF","Nuevo Los Cármenes",19336,264044,13.897,71.9,"2021/2022","Hiszpania",19,5,7,7,22,29,-7,22
"RCD Mallorca","Mallorca Son Moix",20500,242525,12.764,62.3,"2021/2022","Hiszpania",19,7,6,6,20,25,-5,27
"Deportivo Alavés","Mendizorroza",19840,208086,10.952,55.2,"2021/2022","Hiszpania",19,7,4,8,17,21,-4,25
"Celta de Vigo","Abanca Balaídos",29000,190257,10.014,34.5,"2021/2022","Hiszpania",19,7,4,8,26,23,3,25
"Getafe CF","Coliseum",16800,165338,8.702,51.8,"2021/2022","Hiszpania",19,7,7,5,21,15,6,28
"Rayo Vallecano","Campo de Fútbol de Vallecas",15105,150471,7.92,52.4,"2021/2022","Hiszpania",19,8,5,6,26,22,4,29
"FC Barcelona","Olímpic Lluís Companys",49472,1586457,83.498,168.8,"2022/2023","Hiszpania",19,15,3,1,37,4,33,48
"Real Madryt","Santiago Bernabéu",81044,1076242,56.644,69.9,"2022/2023","Hiszpania",19,13,5,1,44,16,28,44
"Atlético Madryt","Civitas Metropolitano",67829,1060209,55.8,82.3,"2022/2023","Hiszpania",19,13,3,3,41,15,26,42
"Real Betis Balompié","Benito Villamarín",60721,945064,49.74,81.9,"2022/2023","Hiszpania",19,9,5,5,26,18,8,32
"Athletic Bilbao","San Mamés",53289,826264,43.488,81.6,"2022/2023","Hiszpania",19,8,3,8,22,15,7,27
"Valencia CF","Mestalla",49430,771429,40.602,82.1,"2022/2023","Hiszpania",19,8,5,6,27,19,8,29
"Sevilla FC","Ramón Sánchez-Pizjuán",43883,675843,35.571,81.1,"2022/2023","Hiszpania",19,7,5,7,24,25,-1,26
"Real Sociedad","Reale Arena ",39313,611532,32.186,81.9,"2022/2023","Hiszpania",19,11,5,3,26,16,10,38
"RCD Espanyol","Stage Front Stadium",40500,410428,21.601,53.3,"2022/2023","Hiszpania",19,4,7,8,27,35,-8,19
"Real Valladolid CF","Nuevo José Zorrilla",27618,397916,20.943,75.8,"2022/2023","Hiszpania",19,8,4,7,21,25,-4,28
"Elche CF","Manuel Martínez Valero",31388,377617,19.875,63.3,"2022/2023","Hiszpania",19,3,6,10,18,29,-11,15
