"Klub","Nazwa_stadionu","Pojemnosc","Liczba_widzow","Srednia","Wykorzystanie","Sezon","Kraj","Liczba_meczow","Zwyciestwa","Remisy","Porazki","Gole_zdobyte","Gole_stracone","Bilans_goli","Punkty"
"Fluminense Football Club","Estádio Jornalista Mário Filho",82238,288238,15.17,18.5,"2017/2018","Brazylia",19,9,5,5,17,11,6,32
"Botafogo de Futebol e Regatas","Estádio Olímpico Nilton Santos",46931,241907,12.732,27.1,"2017/2018","Brazylia",19,10,7,2,22,14,8,37
"Clube Atlético Paranaense","Ligga Arena",42372,231409,12.179,28.7,"2017/2018","Brazylia",19,14,2,3,44,14,30,44
"Santos FC","Estádio Urbano Caldeira",20120,218007,11.474,57,"2017/2018","Brazylia",19,9,6,4,28,14,14,33
"Associação Chapecoense de Futebol","Arena Condá",22600,190294,10.015,44.3,"2017/2018","Brazylia",19,10,5,4,24,16,8,35
"Esporte Clube Vitória","Estádio Manoel Barradas",30618,179557,9.45,30.9,"2017/2018","Brazylia",19,7,5,7,22,24,-2,26
"Paraná Clube","Estádio Durival Britto e Silva",20083,128936,6.786,33.8,"2017/2018","Brazylia",19,3,10,6,13,23,-10,19
"América Futebol Clube (MG)","Estádio Raimundo Sampaio",25000,121742,6.407,25.6,"2017/2018","Brazylia",19,8,7,4,22,17,5,31
"Flamengo Rio de Janeiro","Estádio Jornalista Mário Filho",78838,1120849,58.992,74.8,"2018/2019","Brazylia",19,17,2,0,56,18,38,53
"Fortaleza Esporte Clube","Estádio Governador Plácido Castelo",60326,640035,33.686,55.8,"2018/2019","Brazylia",19,11,2,6,26,17,9,35
"Sport Club Corinthians Paulista","Neo Química Arena ",49205,628388,33.073,67.2,"2018/2019","Brazylia",19,10,7,2,25,13,12,37
"FC Sao Paulo","Estádio Cícero Pompeu de Toledo",72039,562935,29.628,41.1,"2018/2019","Brazylia",19,10,6,3,23,12,11,36
"Sociedade Esportiva Palmeiras","Allianz Parque",43713,538313,28.332,64.8,"2018/2019","Brazylia",19,13,4,2,40,13,27,43
"Cruzeiro Belo Horizonte","Estádio Governador Magalhães Pinto",61927,514055,27.056,43.7,"2018/2019","Brazylia",19,5,8,6,13,17,-4,23
"Ceará Sporting Club","Estádio Governador Plácido Castelo",60326,507629,26.717,44.3,"2018/2019","Brazylia",19,8,6,5,23,14,9,30
"Esporte Clube Bahia","Arena Fonte Nova",47364,503685,26.51,56,"2018/2019","Brazylia",19,7,8,4,24,18,6,29
